id_reserva,id_cliente,nombre,apellido,mail,competencia,inicio_estancia,final_estancia,id_hotel,ciudad,id,nombre_hotel,valoracion,precio_noche,fecha_reserva,id_ciudad
76,9914,María Teresa,Mata,maría teresa.mata@example.com,True,2025-03-01,2025-03-02,22,Madrid,220,ibis Madrid Getafe,4.4,64.0,2025-02-19,1
77,14014,Trinidad,Echeverría,trinidad.echeverría@example.com,True,2025-03-01,2025-03-02,21,Madrid,227,ibis Madrid Centro las Ventas,4.5,90.0,2025-02-19,1
78,11400,Paola,Ledesma,paola.ledesma@example.com,True,2025-03-01,2025-03-02,21,Madrid,230,ibis Madrid Centro las Ventas,4.5,90.0,2025-02-19,1
79,3181,Clotilde,Pinilla,clotilde.pinilla@example.com,True,2025-03-01,2025-03-02,21,Madrid,233,ibis Madrid Centro las Ventas,4.5,90.0,2025-02-19,1
80,8597,Lola,Ramos,lola.ramos@example.com,True,2025-03-01,2025-03-02,22,Madrid,239,ibis Madrid Getafe,4.4,64.0,2025-02-19,1
81,9666,Marta,Hernandez,marta.hernandez@example.com,True,2025-03-01,2025-03-02,28,Madrid,240,ibis budget Madrid Centro las Ventas,4.3,75.0,2025-02-19,1
82,527,Ale,Buendía,ale.buendía@example.com,True,2025-03-01,2025-03-02,25,Madrid,242,ibis budget Madrid Calle 30,4.4,79.0,2025-02-19,1
83,9324,Marcia,Muro,marcia.muro@example.com,True,2025-03-01,2025-03-02,26,Madrid,246,ibis budget Madrid Calle Alcalá,4.3,71.0,2025-02-19,1
84,438,Albano,Luís,albano.luís@example.com,True,2025-03-01,2025-03-02,24,Madrid,258,ibis Styles Madrid City Las Ventas,4.6,98.0,2025-02-19,1
85,14156,Valero,Niño,valero.niño@example.com,True,2025-03-01,2025-03-02,24,Madrid,259,ibis Styles Madrid City Las Ventas,4.6,98.0,2025-02-19,1
86,12984,Salvador,Téllez,salvador.téllez@example.com,True,2025-03-01,2025-03-02,28,Madrid,262,ibis budget Madrid Centro las Ventas,4.3,75.0,2025-02-19,1
87,12331,Ricardo,Sanjuan,ricardo.sanjuan@example.com,True,2025-03-01,2025-03-02,28,Madrid,267,ibis budget Madrid Centro las Ventas,4.3,75.0,2025-02-19,1
88,4812,Estela,Barrena,estela.barrena@example.com,True,2025-03-01,2025-03-02,22,Madrid,269,ibis Madrid Getafe,4.4,64.0,2025-02-19,1
89,2706,Ceferino,Crespo,ceferino.crespo@example.com,True,2025-03-01,2025-03-02,20,Madrid,272,ibis Madrid Calle Alcalá,4.5,78.0,2025-02-19,1
90,13201,Sebastian,Sanjuan,sebastian.sanjuan@example.com,True,2025-03-01,2025-03-02,29,Madrid,274,ibis budget Madrid Vallecas,4.3,70.0,2025-02-19,1
91,8852,Luis,Luna,luis.luna@example.com,True,2025-03-01,2025-03-02,26,Madrid,276,ibis budget Madrid Calle Alcalá,4.3,71.0,2025-02-19,1
92,14755,Ámbar,Lamas,ámbar.lamas@example.com,True,2025-03-01,2025-03-02,22,Madrid,278,ibis Madrid Getafe,4.4,64.0,2025-02-19,1
93,4878,Eufemia,Figuerola,eufemia.figuerola@example.com,True,2025-03-01,2025-03-02,26,Madrid,279,ibis budget Madrid Calle Alcalá,4.3,71.0,2025-02-19,1
94,2401,Candelas,Gomila,candelas.gomila@example.com,True,2025-03-01,2025-03-02,27,Madrid,280,ibis budget Madrid Centro Lavapies,4.3,106.0,2025-02-19,1
95,9562,Marino,Malo,marino.malo@example.com,True,2025-03-01,2025-03-02,26,Madrid,283,ibis budget Madrid Calle Alcalá,4.3,71.0,2025-02-19,1
96,8179,Lalo,Vall,lalo.vall@example.com,True,2025-03-01,2025-03-02,28,Madrid,285,ibis budget Madrid Centro las Ventas,4.3,75.0,2025-02-19,1
97,5647,Florinda,Salamanca,florinda.salamanca@example.com,True,2025-03-01,2025-03-02,29,Madrid,292,ibis budget Madrid Vallecas,4.3,70.0,2025-02-19,1
98,3474,Cruz,Cuevas,cruz.cuevas@example.com,True,2025-03-01,2025-03-02,21,Madrid,296,ibis Madrid Centro las Ventas,4.5,90.0,2025-02-19,1
99,9917,María Teresa,Quintero,maría teresa.quintero@example.com,True,2025-03-01,2025-03-02,25,Madrid,300,ibis budget Madrid Calle 30,4.4,79.0,2025-02-19,1
100,2356,Candela,Sevilla,candela.sevilla@example.com,True,2025-03-01,2025-03-02,26,Madrid,302,ibis budget Madrid Calle Alcalá,4.3,71.0,2025-02-19,1
101,9636,Maristela,Valentín,maristela.valentín@example.com,True,2025-03-01,2025-03-02,26,Madrid,304,ibis budget Madrid Calle Alcalá,4.3,71.0,2025-02-19,1
102,9711,Martirio,Aznar,martirio.aznar@example.com,True,2025-03-01,2025-03-02,28,Madrid,305,ibis budget Madrid Centro las Ventas,4.3,75.0,2025-02-19,1
103,5020,Eva María,Heras,eva maría.heras@example.com,True,2025-03-01,2025-03-02,29,Madrid,308,ibis budget Madrid Vallecas,4.3,70.0,2025-02-19,1
104,14535,Ximena,Carballo,ximena.carballo@example.com,True,2025-03-01,2025-03-02,21,Madrid,311,ibis Madrid Centro las Ventas,4.5,90.0,2025-02-19,1
105,322,Agustina,Hervás,agustina.hervás@example.com,True,2025-03-01,2025-03-02,21,Madrid,315,ibis Madrid Centro las Ventas,4.5,90.0,2025-02-19,1
106,4784,Espiridión,Pla,espiridión.pla@example.com,True,2025-03-01,2025-03-02,23,Madrid,316,ibis Styles Madrid Centro Maravillas,4.7,114.0,2025-02-19,1
107,4237,Elena,Verdejo,elena.verdejo@example.com,True,2025-03-01,2025-03-02,24,Madrid,317,ibis Styles Madrid City Las Ventas,4.6,98.0,2025-02-19,1
108,10323,Mirta,Vera,mirta.vera@example.com,True,2025-03-01,2025-03-02,20,Madrid,320,ibis Madrid Calle Alcalá,4.5,78.0,2025-02-19,1
109,14331,Victoriano,Tomé,victoriano.tomé@example.com,True,2025-03-01,2025-03-02,28,Madrid,323,ibis budget Madrid Centro las Ventas,4.3,75.0,2025-02-19,1
110,10344,Modesto,Fabregat,modesto.fabregat@example.com,True,2025-03-01,2025-03-02,29,Madrid,325,ibis budget Madrid Vallecas,4.3,70.0,2025-02-19,1
111,7490,Jorge,Piñol,jorge.piñol@example.com,True,2025-03-01,2025-03-02,26,Madrid,326,ibis budget Madrid Calle Alcalá,4.3,71.0,2025-02-19,1
112,11034,Obdulia,Piquer,obdulia.piquer@example.com,True,2025-03-01,2025-03-02,24,Madrid,329,ibis Styles Madrid City Las Ventas,4.6,98.0,2025-02-19,1
113,3924,Dominga,Mármol,dominga.mármol@example.com,True,2025-03-01,2025-03-02,25,Madrid,332,ibis budget Madrid Calle 30,4.4,79.0,2025-02-19,1
114,14443,Visitación,Saura,visitación.saura@example.com,True,2025-03-01,2025-03-02,21,Madrid,334,ibis Madrid Centro las Ventas,4.5,90.0,2025-02-19,1
115,4732,Ernesto,Redondo,ernesto.redondo@example.com,True,2025-03-01,2025-03-02,24,Madrid,335,ibis Styles Madrid City Las Ventas,4.6,98.0,2025-02-19,1
116,5182,Fabián,Benavides,fabián.benavides@example.com,True,2025-03-01,2025-03-02,22,Madrid,336,ibis Madrid Getafe,4.4,64.0,2025-02-19,1
117,12263,Reyes,Pinto,reyes.pinto@example.com,True,2025-03-01,2025-03-02,29,Madrid,339,ibis budget Madrid Vallecas,4.3,70.0,2025-02-19,1
118,6940,Isaura,Madrigal,isaura.madrigal@example.com,True,2025-03-01,2025-03-02,25,Madrid,342,ibis budget Madrid Calle 30,4.4,79.0,2025-02-19,1
119,9408,Margarita,Botella,margarita.botella@example.com,True,2025-03-01,2025-03-02,24,Madrid,343,ibis Styles Madrid City Las Ventas,4.6,98.0,2025-02-19,1
120,7385,Joaquina,Marí,joaquina.marí@example.com,True,2025-03-01,2025-03-02,28,Madrid,345,ibis budget Madrid Centro las Ventas,4.3,75.0,2025-02-19,1
121,1544,Arturo,Morata,arturo.morata@example.com,True,2025-03-01,2025-03-02,24,Madrid,346,ibis Styles Madrid City Las Ventas,4.6,98.0,2025-02-19,1
122,7747,José Manuel,Segura,josé manuel.segura@example.com,True,2025-03-01,2025-03-02,22,Madrid,353,ibis Madrid Getafe,4.4,64.0,2025-02-19,1
123,11218,Onofre,Martínez,onofre.martínez@example.com,True,2025-03-01,2025-03-02,23,Madrid,356,ibis Styles Madrid Centro Maravillas,4.7,114.0,2025-02-19,1
124,9350,Marciano,Flor,marciano.flor@example.com,True,2025-03-01,2025-03-02,24,Madrid,358,ibis Styles Madrid City Las Ventas,4.6,98.0,2025-02-19,1
125,12297,Reyna,Tomas,reyna.tomas@example.com,True,2025-03-01,2025-03-02,23,Madrid,359,ibis Styles Madrid Centro Maravillas,4.7,114.0,2025-02-19,1
126,9329,Marcia,Valdés,marcia.valdés@example.com,True,2025-03-01,2025-03-02,22,Madrid,364,ibis Madrid Getafe,4.4,64.0,2025-02-19,1
127,7272,Jeremías,Ortuño,jeremías.ortuño@example.com,True,2025-03-01,2025-03-02,24,Madrid,366,ibis Styles Madrid City Las Ventas,4.6,98.0,2025-02-19,1
128,6139,Goyo,Iglesia,goyo.iglesia@example.com,True,2025-03-01,2025-03-02,25,Madrid,367,ibis budget Madrid Calle 30,4.4,79.0,2025-02-19,1
129,14211,Vera,Ariza,vera.ariza@example.com,True,2025-03-01,2025-03-02,25,Madrid,369,ibis budget Madrid Calle 30,4.4,79.0,2025-02-19,1
130,14144,Valero,Aragonés,valero.aragonés@example.com,True,2025-03-01,2025-03-02,28,Madrid,370,ibis budget Madrid Centro las Ventas,4.3,75.0,2025-02-19,1
131,14553,Xiomara,Llamas,xiomara.llamas@example.com,True,2025-03-01,2025-03-02,27,Madrid,375,ibis budget Madrid Centro Lavapies,4.3,106.0,2025-02-19,1
132,7793,José Ángel,Tirado,josé ángel.tirado@example.com,True,2025-03-01,2025-03-02,24,Madrid,376,ibis Styles Madrid City Las Ventas,4.6,98.0,2025-02-19,1
133,10855,Nilda,Paz,nilda.paz@example.com,True,2025-03-01,2025-03-02,22,Madrid,380,ibis Madrid Getafe,4.4,64.0,2025-02-19,1
134,12802,Ruperto,Alcalá,ruperto.alcalá@example.com,True,2025-03-01,2025-03-02,23,Madrid,381,ibis Styles Madrid Centro Maravillas,4.7,114.0,2025-02-19,1
135,4021,Duilio,Sanz,duilio.sanz@example.com,True,2025-03-01,2025-03-02,21,Madrid,382,ibis Madrid Centro las Ventas,4.5,90.0,2025-02-19,1
136,7023,Ismael,Barroso,ismael.barroso@example.com,True,2025-03-01,2025-03-02,27,Madrid,387,ibis budget Madrid Centro Lavapies,4.3,106.0,2025-02-19,1
137,98,Abril,Matas,abril.matas@example.com,True,2025-03-01,2025-03-02,24,Madrid,388,ibis Styles Madrid City Las Ventas,4.6,98.0,2025-02-19,1
138,1281,Anselmo,Mayo,anselmo.mayo@example.com,True,2025-03-01,2025-03-02,21,Madrid,390,ibis Madrid Centro las Ventas,4.5,90.0,2025-02-19,1
139,2196,Brígida,Cerdá,brígida.cerdá@example.com,True,2025-03-01,2025-03-02,21,Madrid,392,ibis Madrid Centro las Ventas,4.5,90.0,2025-02-19,1
140,12012,Raimundo,Rius,raimundo.rius@example.com,True,2025-03-01,2025-03-02,22,Madrid,393,ibis Madrid Getafe,4.4,64.0,2025-02-19,1
141,8810,Lucía,Cortes,lucía.cortes@example.com,True,2025-03-01,2025-03-02,23,Madrid,394,ibis Styles Madrid Centro Maravillas,4.7,114.0,2025-02-19,1
142,5766,Fátima,Cabeza,fátima.cabeza@example.com,True,2025-03-01,2025-03-02,29,Madrid,395,ibis budget Madrid Vallecas,4.3,70.0,2025-02-19,1
143,7431,Jonatan,Pareja,jonatan.pareja@example.com,True,2025-03-01,2025-03-02,27,Madrid,399,ibis budget Madrid Centro Lavapies,4.3,106.0,2025-02-19,1
144,5495,Filomena,Palmer,filomena.palmer@example.com,True,2025-03-01,2025-03-02,20,Madrid,401,ibis Madrid Calle Alcalá,4.5,78.0,2025-02-19,1
145,12117,Regina,Sanz,regina.sanz@example.com,True,2025-03-01,2025-03-02,23,Madrid,403,ibis Styles Madrid Centro Maravillas,4.7,114.0,2025-02-19,1
146,6636,Ibán,Almazán,ibán.almazán@example.com,True,2025-03-01,2025-03-02,26,Madrid,404,ibis budget Madrid Calle Alcalá,4.3,71.0,2025-02-19,1
147,10697,Nazario,Hervia,nazario.hervia@example.com,True,2025-03-01,2025-03-02,29,Madrid,405,ibis budget Madrid Vallecas,4.3,70.0,2025-02-19,1
148,9798,María Del Carmen,Galan,maría del carmen.galan@example.com,True,2025-03-01,2025-03-02,25,Madrid,407,ibis budget Madrid Calle 30,4.4,79.0,2025-02-19,1
149,4954,Eusebio,Acedo,eusebio.acedo@example.com,True,2025-03-01,2025-03-02,26,Madrid,409,ibis budget Madrid Calle Alcalá,4.3,71.0,2025-02-19,1
150,4777,Espiridión,Castillo,espiridión.castillo@example.com,True,2025-03-01,2025-03-02,22,Madrid,410,ibis Madrid Getafe,4.4,64.0,2025-02-19,1
151,10662,Nazaret,Díaz,nazaret.díaz@example.com,True,2025-03-01,2025-03-02,28,Madrid,411,ibis budget Madrid Centro las Ventas,4.3,75.0,2025-02-19,1
152,9311,Marcia,Bartolomé,marcia.bartolomé@example.com,True,2025-03-01,2025-03-02,25,Madrid,416,ibis budget Madrid Calle 30,4.4,79.0,2025-02-19,1
153,5424,Fernanda,Anguita,fernanda.anguita@example.com,True,2025-03-01,2025-03-02,21,Madrid,421,ibis Madrid Centro las Ventas,4.5,90.0,2025-02-19,1
154,14251,Vicente,Beltrán,vicente.beltrán@example.com,True,2025-03-01,2025-03-02,20,Madrid,424,ibis Madrid Calle Alcalá,4.5,78.0,2025-02-19,1
155,8313,Leonardo,Morcillo,leonardo.morcillo@example.com,True,2025-03-01,2025-03-02,24,Madrid,426,ibis Styles Madrid City Las Ventas,4.6,98.0,2025-02-19,1
156,8038,Judith,Carbó,judith.carbó@example.com,True,2025-03-01,2025-03-02,20,Madrid,429,ibis Madrid Calle Alcalá,4.5,78.0,2025-02-19,1
157,2632,Cayetana,Barreda,cayetana.barreda@example.com,True,2025-03-01,2025-03-02,21,Madrid,438,ibis Madrid Centro las Ventas,4.5,90.0,2025-02-19,1
158,2871,Chita,Murcia,chita.murcia@example.com,True,2025-03-01,2025-03-02,25,Madrid,439,ibis budget Madrid Calle 30,4.4,79.0,2025-02-19,1
159,13238,Segismundo,Otero,segismundo.otero@example.com,True,2025-03-01,2025-03-02,23,Madrid,440,ibis Styles Madrid Centro Maravillas,4.7,114.0,2025-02-19,1
160,3406,Crescencia,Vera,crescencia.vera@example.com,True,2025-03-01,2025-03-02,25,Madrid,444,ibis budget Madrid Calle 30,4.4,79.0,2025-02-19,1
